Ground Truth,Prediction
vai nel registro chiamate,vaiṃvaiṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ viviṃ
due,due
salva,vairo
scorri verso il basso,tasturna basa
chiama ultimo numero, त्याना अच्छ़ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce,lv 2
chiudi applicazione,apriya pevi
si,
top,top
vai nella rubrica,vai nela rubrica 2.2
sezione,ali
sotto,satta
seleziona,sali
muto,noi
chiudi rubrica,aggi rubrica 2
otto,apri
cancella, cantina
tre, ಎದ
fai una telefonata,tai una telefonata
indietro,ali
vai nei preferiti,vaijnai patali
termina chiamata,quiet
sali,
chiamata, तःःद
apri rubrica 3,apri rubrica 2
sopra,sampa
zero,एक्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
sette,sopra
tastiera,aggi
raggiungi,aggi
stop,stop
esci da rubrica,
nuovo contatto,nuovi
no, ಎದ
aggiungi ai preferiti,aggi aiya teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri teri ter
cancella,vaii dala
scesi,sali
due,due
scendi,sali
terminare,tastu
otto,apriya
muto,noda
esci da rubrica,
tre,ta
vai alla tastiera,vaiyata chena
chiama ultimo numero, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
sezione,siten
vivavoce,ali
mali,mali
vai nel registro chiamate, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
chiama emergenza, तःएःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
top,top
cancella contatto,cancella contatto
stop,top
zero,va
chiama,quana
cella,tama
cancella tutto, ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok
tastiera,tapu
chiudi, there
fai una telefonata, PRACTICAL THRUMP UP
chiamata,quattro
chiudi applicazione, you did not pick up your number
sali,sali
apri rubrica 1,apriya rubrica 2
deseleziona,disattiva viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viviti viv
preferiti,tastu
indietro,india
termina chiamata, तोःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cinque,siiva
uno, ಎದ
si,si
sotto,sukhriya
apri rubrica 2,aggi vivi
nove,novec
sei,
quattro,quattro
chiudi rubrica,tudi arvindata
vai nei preferiti,vaii vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
salva,sana
seleziona,sukai
vai alla pagina principale,vairovaijiti da
muovi,quattro
bue,due
tra,s
rimuovi,tastu
rubrica,tastu
apri rubrica 3,apriyaivede
richiama,aliya
sette,apapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapapap
scorri verso il basso, Sopulaamataan.
vai nella rubrica,vai renata vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai
nave,nada
sopra,sata
no, ಎಎ
nuovo contatto, more
zelo,valla
apri,apri
disattiva vivavoce, Pizettiva vyhovoďte.
raggiungi,mundovi
scorri verso l alto, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
attiva vivavoce,apila vivavoce
aggiungi, c
scendi,sana
seleziona, again
tastiera,aggi
mali,nave
termina chiamata, तुऎएपनाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 1,aggi rubrica 2
scesi,
bue,novi
sezione,saitam
tra,tata
vai alla tastiera,vairopevi
indietro, n
muto,noita
chiamata, तिनाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
chiudi applicazione,aggi vapikattu
otto,apriya
cancella tutto,ankataplata
cella,salla
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella contatto,cancella contatto
chiudi,
sali,
cancella,अईःदः
raggiungi,anyiṃ
chiama,च्यान
uno,
stop,
scorri verso il basso, Skorri vastataan.
zero,
disattiva vivavoce, you get the bell
esci da rubrica,
vivavoce, भीःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
sei,
richiama, okraina
cinque, jai bai
nuovo contatto,novecquita 2
quattro,quattro
si,si
sotto, तच्छ
apri rubrica 3,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
muovi,mali
aggiungi,aggiungi
vai nei preferiti, तद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द
attiva vivavoce,ali
nove,nave
chiama emergenza, ಎದ
salva,sali
aggiungi ai preferiti,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
scorri verso l alto,
terminare,�
tre,tastu
zelo, there
no,tatt.
sette,apriya
rimuovi,tastinali
chiudi rubrica,chiudi rubrica 2
sopra,sopra
apri,apriya
rubrica, yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata yubrata
vai alla pagina principale, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
vai nella rubrica,vaii mella rubrica 1 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3
preferiti,apriyaali
top,s
deseleziona, Pofok
due,duevac
fai una telefonata, Paiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo Vaiyo V
nave,quattro
apri rubrica 2,apri rubrica 2
vai nel registro chiamate,vaii naivai vivi chate nata
chiudi rubrica,tudi arata
scesi,si
nave, nai
preferiti,tasturnavaijita
vai alla tastiera,vaiyata ki
cancella,vindala
sezione,sittu
vai nel registro chiamate,vaii nai riti mata
no,tatt.
vivavoce,
vai alla pagina principale, right now
uno,ali
sei,
apri rubrica 2,apri rubrica 2
zelo, ಎಎ
scorri verso l alto,square the chateau
cinque,
apri,apri
nuovo contatto,novecchi
nove,novec
disattiva vivavoce, भीःट्टिःःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदिःदि�
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
si,si
tastiera,tapu
cella,tata
chiamata,tomato
esci da rubrica,
scorri verso il basso, Si
terminare,tasturnavaijata
cancella contatto, ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok
bue,muto
apri rubrica 3,apri rubrica 2
tra,ta
indietro, nr 1
deseleziona,deselected
sotto,sattin
vai nei preferiti,vaiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃiṃ
raggiungi,vaijana
tre,tastu
top, uh
stop,top 2
zero, more
sali,sali
due,tasturap
quattro,quattro
salva,sali
attiva vivavoce,attiva vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavo
muovi,mali
scendi,salaam
chiudi applicazione,aggi vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasatt
aggiungi ai preferiti,aggi ai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai
fai una telefonata,fai una telefonata
muto,noda
otto,attattu
seleziona,sopraptor
sopra,tapai
apri rubrica 1,apriya
sette,sopra
chiama ultimo numero, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
richiama,ali
chiudi,
chiama, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
aggiungi,anyali
cancella tutto, ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok
vai nella rubrica,vai nelai rubrica 2
rubrica,tastu
rimuovi,tastinai
mali,mali
termina chiamata,tata tata
disattiva vivavoce,ali kaudi
sopra,surena
nove,nave
sette,sop
preferiti,tastu
nuovo contatto,novella.com
vivavoce, nigervate
si,
cancella contatto, okra prattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapatt
cancella, okra
apri rubrica 3,apri rubrica 2
termina chiamata,apriya
esci da rubrica,aggi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
nave,nave
chiudi applicazione,
vai alla tastiera,vaiyavatteshi
no, ಎ
top,tata
indietro, niti
scorri verso il basso," Skorri, menevättein."
tre,tastu
sotto,sopra
chiudi rubrica,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
